block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
0,64,80.5,11.7,1333.33333333,22.4,1
1,64,193,61.7,1333.33333333,1758.567,0
2,64,85.8,9.7,1333.33333333,631.934,0
3,64,78.7,9.9,1333.33333333,1069.9,0
4,64,60.3,7.9,1333.33333333,1731.967,0
5,64,52.7,5.4,1333.33333333,467.434,0
6,64,79.2,8.3,1333.33333333,1066,0
7,64,79.1,8.2,1333.33333333,1734.867,0
8,64,81.2,10.7,1333.33333333,492.934,0
9,64,73.9,8.8,1333.33333333,1064.7,0
10,64,83,11.2,1333.33333333,1728.567,0
11,64,74.1,8.7,1333.33333333,488.934,0
12,64,87.7,10.3,1333.33333333,1079.6,0
13,64,138.6,25.7,1333.33333333,1732.367,0
14,64,88.8,10.1,1333.33333333,552.734,0
15,64,91.8,10,1333.33333333,1085,1
16,64,64,7.7,1333.33333333,1732.167,0
17,64,53.1,5.5,1333.33333333,471.334,0
18,64,78.8,8,1333.33333333,1067.5,0
19,64,78.7,7.9,1333.33333333,1733.567,0
20,64,77.9,7.9,1333.33333333,491.334,0
21,64,78.6,8.1,1333.33333333,1067.2,0
22,64,78.8,8.1,1333.33333333,1739.067,0
23,64,77.2,7.8,1333.33333333,496.934,0
24,64,69.5,9.1,1333.33333333,1066.9,0
25,64,84.2,11.6,1333.33333333,1734.567,0
26,64,73.2,8.5,1333.33333333,495.834,0
27,64,73.5,10.9,1333.33333333,1066.2,0
28,64,87.1,9.8,1333.33333333,1740.567,0
29,64,71.2,7.9,1333.33333333,504.834,0
30,64,81.4,9,1333.33333333,1075.2,1
31,64,88,10,1333.33333333,1730.067,0
32,64,79,9.3,1333.33333333,496.934,0
33,64,75.9,8.9,1333.33333333,1061.9,0
34,64,56,5.9,1333.33333333,1728.267,0
35,64,53.9,5.5,1333.33333333,459.434,0
36,64,73.9,7.7,1333.33333333,1064.8,0
37,64,59.1,7.2,1333.33333333,1730.767,0
38,64,54,5.6,1333.33333333,465.334,0
39,64,90.4,11.4,1333.33333333,1072,0
40,64,95,13,1333.33333333,1737.967,0
41,64,87.3,10.5,1333.33333333,512.034,0
42,64,81.5,11,1333.33333333,1069.7,0
43,64,102,13.8,1333.33333333,1741.067,0
44,64,84.3,10.1,1333.33333333,522.334,0
45,64,67.3,7.4,1333.33333333,1587.1,1
46,64,57.9,6.4,1333.33333333,329.467,0
47,64,68.4,7.8,1333.33333333,454.134,0
48,64,62.5,7.3,1333.33333333,1119.1,0
49,64,63.7,8.3,1333.33333333,1793.767,0
50,64,54.6,5.6,1333.33333333,532.934,0
51,64,60,7.6,1333.33333333,629,0
52,64,73.4,9.5,1333.33333333,1068.067,0
53,64,59,7.4,1333.33333333,1733.934,0
54,64,52.5,5.5,1333.33333333,467.9,0
55,64,87.6,11.4,1333.33333333,1074.867,0
