block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
0,333,351.7,59.9,6937.5,93.4,1
1,333,292.3,51,6937.5,0,0
2,333,285.5,50.5,6937.5,0,0
3,333,286,50.7,6937.5,0,1
4,333,284.6,50.3,6937.5,0,0
5,333,285.2,49.8,6937.5,0,0
6,333,285.5,50.7,6937.5,0,1
7,333,282.5,49.8,6937.5,0,0
8,333,282.9,50,6937.5,0,0
9,333,297.4,49.9,6937.5,0,1
10,333,283.3,50.3,6937.5,0,0
11,333,288.6,49.9,6937.5,0,0
12,333,284.3,49.8,6937.5,0,1
13,333,286.9,49.7,6937.5,0,0
14,333,283,49.8,6937.5,0,0
15,333,287.7,49.7,6937.5,0,1
16,333,286.7,49.9,6937.5,0,0
17,333,282.8,50.2,6937.5,0,0
18,333,434.7,150.5,6937.5,0,1
19,333,329.4,51.3,6937.5,0,0
20,333,395.9,59.4,6937.5,0,0
21,333,409.7,52.5,6937.5,0,1
22,333,403,47.7,6937.5,0,0
23,333,302.1,39.8,6937.5,0,0
24,333,265.8,28.4,6937.5,0,1
25,333,256.7,25.8,6937.5,0,0
26,333,256.1,25.8,6937.5,0,0
27,333,260.6,27.6,6937.5,0,1
28,333,346.9,35.2,6937.5,0,0
29,333,373,46.5,6937.5,0,0
30,333,417.9,55.7,6937.5,0,1
31,333,258.9,26,6937.5,0,0
32,333,411.2,48.1,6937.5,0,0
33,333,397.5,42.5,6937.5,0,1
34,333,389.3,39.5,6937.5,0,0
35,333,403.4,48.8,6937.5,0,0
36,333,383.4,39.4,6937.5,0,1
37,333,400,47.5,6937.5,0,0
38,333,386.5,39.7,6937.5,0,0
39,333,385.9,41.9,6937.5,0,1
40,333,388.6,39.4,6937.5,0,0
41,333,401.2,48.1,6937.5,0,0
42,333,395.6,46.1,6937.5,0,1
43,333,376.1,39.8,6937.5,0,0
44,333,398.3,49.1,6937.5,0,0
45,333,388.5,39.9,6937.5,0,1
46,333,392.9,46.5,6937.5,0,0
47,333,410.7,62.8,6937.5,0,0
48,333,385.1,39.3,6937.5,0,1
49,333,442,77.8,6937.5,0,0
50,333,480.2,48.7,6937.5,0,0
51,333,413,48.8,6937.5,0,1
52,333,262.4,29.5,6937.5,0,0
53,333,255.8,26,6937.5,0,0
54,333,263.2,31,6937.5,0,1
55,333,258.1,26,6937.5,0,0
56,333,298.3,38.6,6937.5,0,0
57,333,330.2,43,6937.5,0,1
58,333,332.3,38.7,6937.5,0,0
59,333,261.8,26.6,6937.5,0,0
60,333,309.1,39.2,6937.5,0,1
61,333,301.1,38.5,6937.5,0,0
62,333,267.6,31.1,6937.5,0,0
63,333,369.7,39.3,6937.5,0,1
64,333,395.7,40.6,6937.5,0,0
65,333,392.2,40.3,6937.5,0,0
66,333,347.4,40,6937.5,0,1
67,333,342.3,39.6,6937.5,0,0
68,333,406.6,50.1,6937.5,0,0
69,333,393.2,39.9,6937.5,0,1
70,333,410.2,53.7,6937.5,0,0
71,333,388.9,40.1,6937.5,0,0
72,333,405.2,48.8,6937.5,0,1
73,333,347.2,40,6937.5,0,0
74,333,277.5,38.4,6937.5,0,0
75,333,267.7,30.9,6937.5,0,1
76,333,306.1,38.6,6937.5,0,0
77,333,274,33.3,6937.5,0,0
78,333,293.8,42.6,6937.5,0,1
79,333,330.3,41.8,6937.5,0,0
80,333,259.7,26,6937.5,0,0
81,333,309.8,55.7,6937.5,0,1
82,333,400.7,54,6937.5,0,0
83,333,412.5,54.3,6937.5,0,0
84,333,409.8,55.7,6937.5,0,1
85,333,728.3,231.7,6937.5,0,0
86,333,423.4,56.7,6937.5,0,0
87,333,428.1,61.5,6937.5,0,1
88,333,401.7,59,6937.5,0,0
89,333,399.9,62,6937.5,0,0
90,333,408,59.1,6937.5,0,1
91,333,418.4,59.5,6937.5,0,0
92,333,409.9,58.9,6937.5,0,0
93,333,407.4,60.7,6937.5,0,1
94,333,411.6,51.8,6937.5,0,0
95,333,393.9,48,6937.5,0,0
96,333,378.9,38.1,6937.5,0,1
97,333,417.4,73.3,6937.5,0,0
98,333,385.7,43.9,6937.5,0,0
99,333,388.1,47.4,6937.5,0,1
100,333,379.8,37.9,6937.5,0,0
101,333,379.5,38,6937.5,0,0
102,333,386.4,39.6,6937.5,0,1
103,333,381.4,46.8,6937.5,0,0
104,333,375.3,38.6,6937.5,0,0
105,333,374.1,37.9,6937.5,0,1
106,333,392.9,40.3,6937.5,0,0
107,333,439.2,66.4,6937.5,0,0
108,333,420.9,60.7,6937.5,0,1
109,333,428.7,60.1,6937.5,0,0
110,333,417,61.2,6937.5,0,0
111,333,416.8,59.2,6937.5,0,1
112,333,406.5,59.6,6937.5,0,0
113,333,604.4,233.4,6937.5,0,0
114,333,407.6,59.3,6937.5,0,1
115,333,428,60.2,6937.5,0,0
116,333,416.1,59.8,6937.5,0,0
117,333,424.8,60.5,6937.5,0,1
118,333,412.7,60.6,6937.5,0,0
119,333,425.4,59.8,6937.5,0,0
120,333,414.8,60,6937.5,0,1
121,333,418.1,59.4,6937.5,0,0
122,333,403.3,46.9,6937.5,0,0
123,333,399.2,46.7,6937.5,0,1
124,333,386.8,38.8,6937.5,0,0
125,333,394.7,47.1,6937.5,0,0
126,333,386.1,38.9,6937.5,0,1
127,333,388.7,42,6937.5,0,0
128,333,432.3,65,6937.5,0,0
129,333,395.5,47.9,6937.5,0,1
130,333,388.2,46.5,6937.5,0,0
131,333,397.9,47.5,6937.5,0,0
132,333,392.3,47.6,6937.5,0,1
133,333,382.9,38.5,6937.5,0,0
134,333,393.6,47.3,6937.5,0,0
135,333,402.9,47,6937.5,0,1
136,333,392.2,46.8,6937.5,0,0
137,333,391.6,46.8,6937.5,0,0
138,333,381.7,38.4,6937.5,0,1
139,333,384.6,38.8,6937.5,0,0
140,333,384.6,38.7,6937.5,0,0
141,333,382.6,38.8,6937.5,0,1
142,333,389.4,42,6937.5,0,0
143,333,445.6,51.9,6937.5,0,0
144,333,407.3,48.3,6937.5,0,1
145,333,402.5,48.7,6937.5,0,0
146,333,385.9,42.5,6937.5,0,0
147,333,396.2,47.2,6937.5,0,1
148,333,396.1,39.9,6937.5,0,0
149,333,402.5,43.7,6937.5,0,0
150,333,731.3,364.9,6937.5,0,1
151,333,404.4,50.4,6937.5,0,0
152,333,599.2,238.1,6937.5,0,0
153,333,394.5,41.2,6937.5,0,1
154,333,407.2,48.4,6937.5,0,0
155,333,452.5,88.9,6937.5,0,0
156,333,400.8,48.3,6937.5,0,1
157,333,387.9,41.9,6937.5,0,0
158,333,412.5,48.5,6937.5,0,0
159,333,391.9,40,6937.5,0,1
160,333,390.9,42.2,6937.5,0,0
161,333,404.4,48.3,6937.5,0,0
162,333,391.2,39.7,6937.5,0,1
163,333,394.1,40.2,6937.5,0,0
164,333,398.5,42.6,6937.5,0,0
165,333,382.3,38.6,6937.5,0,1
166,333,394.1,47.2,6937.5,0,0
167,333,384.4,39.3,6937.5,0,0
168,333,399.9,40.3,6937.5,0,1
169,333,394.6,40.1,6937.5,0,0
170,333,407.9,53,6937.5,0,0
171,333,395.9,40.4,6937.5,0,1
172,333,396.2,48,6937.5,0,0
173,333,401,47.7,6937.5,0,0
174,333,406.7,48.7,6937.5,0,1
175,333,397.6,42.8,6937.5,0,0
176,333,393.1,40.8,6937.5,0,0
177,333,395.3,40.1,6937.5,0,1
178,333,395.6,40.3,6937.5,0,0
179,333,403.9,53.9,6937.5,0,0
180,333,385.5,38.6,6937.5,0,1
181,333,391.7,48,6937.5,0,0
182,333,414.8,54.4,6937.5,0,0
183,333,392.3,39.8,6937.5,0,1
184,333,395,47,6937.5,0,0
185,333,393.5,39.9,6937.5,0,0
186,333,448.3,72.7,6937.5,0,1
187,333,417.9,55.6,6937.5,0,0
188,333,592.5,186.7,6937.5,0,0
189,333,410.9,56.6,6937.5,0,1
