stage,cycle,handles,threads,private_bytes,working_set_bytes
initial,-1,200,4,2641920,14909440
lifecycle_destroyed,-1,200,4,3055616,16523264
stereo48k64_active,-1,215,17,64409600,76378112
stereo48k64_destroyed,-1,201,4,13471744,18669568
stereo96k64_active,-1,215,17,65286144,77283328
stereo96k64_destroyed,-1,201,4,13094912,18448384
stereo48k_mixed_active,-1,215,17,65118208,77316096
stereo48k_mixed_destroyed,-1,201,4,13062144,18554880
mono48k64_active,-1,215,17,64987136,77049856
mono48k64_destroyed,-1,201,4,13606912,19148800
offline48k333_active,-1,215,17,64364544,76468224
offline48k333_destroyed,-1,201,4,13053952,18436096
cycle_before,-1,200,4,5423104,18415616
cycle_destroyed,0,251,16,66744320,77873152
cycle_destroyed,1,251,18,73031680,88870912
cycle_destroyed,2,251,18,73498624,92237824
cycle_destroyed,3,251,18,73129984,94162944
cycle_destroyed,4,251,18,76845056,98041856
cycle_destroyed,5,251,18,77434880,99856384
cycle_destroyed,6,251,18,77479936,100950016
cycle_destroyed,7,251,18,77344768,100716544
cycle_destroyed,8,251,18,77352960,100696064
cycle_destroyed,9,251,18,77766656,101236736
cycle_destroyed,10,251,18,78065664,101433344
cycle_destroyed,11,251,18,101777408,125112320
final,-1,251,18,101453824,124788736
