block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
0,64,115.2,17.1,1333.33333333,35.3,1
1,64,86.2,9.8,1333.33333333,1595.267,0
2,64,84.8,8.8,1333.33333333,373.434,0
3,64,85.1,9.1,1333.33333333,927.8,0
4,64,83,8.8,1333.33333333,1594.467,0
5,64,81,8.2,1333.33333333,369.534,0
6,64,94.9,14.4,1333.33333333,945.2,0
7,64,71.7,9.4,1333.33333333,1592.467,0
8,64,68.1,8.1,1333.33333333,349.034,0
9,64,94.6,11.3,1333.33333333,933.3,0
10,64,89.1,10.2,1333.33333333,1593.767,0
11,64,73.2,8.2,1333.33333333,370.734,0
12,64,104.6,11.8,1333.33333333,936.3,0
13,64,94.6,10.6,1333.33333333,1594.567,0
14,64,84.9,10,1333.33333333,381.034,0
15,64,65.9,7.8,1333.33333333,927.7,1
16,64,82.6,8.9,1333.33333333,1589.567,0
17,64,80.3,8.1,1333.33333333,363.934,0
18,64,68.2,7.2,1333.33333333,918.7,0
19,64,71.1,8.4,1333.33333333,1590.467,0
20,64,66.6,6.7,1333.33333333,349.334,0
21,64,73.1,9.2,1333.33333333,921.9,0
22,64,82,11.9,1333.33333333,1595.067,0
23,64,72.1,8.8,1333.33333333,364.834,0
24,64,67.6,9.4,1333.33333333,920.4,0
25,64,67.4,8,1333.33333333,1584.967,0
26,64,60.3,6.8,1333.33333333,336.534,0
27,64,64,7,1333.33333333,917.8,0
28,64,66.1,7.2,1333.33333333,1598.667,0
29,64,60.8,6.8,1333.33333333,349.334,0
30,64,93,10.4,1333.33333333,939.9,1
31,64,81,9.7,1333.33333333,1596.267,0
32,64,76.1,7.8,1333.33333333,367.634,0
33,64,63.2,8.2,1333.33333333,925,0
34,64,63.7,8.1,1333.33333333,1596.967,0
35,64,55.5,5.7,1333.33333333,344.934,0
36,64,62.6,8.1,1333.33333333,931,0
37,64,93,13.8,1333.33333333,1604.567,0
38,64,82.7,10.4,1333.33333333,389.634,0
39,64,95.1,13.6,1333.33333333,937,0
40,64,97.9,12.4,1333.33333333,1601.667,0
41,64,87.7,9.8,1333.33333333,391.434,0
42,64,85.6,9.7,1333.33333333,927.7,0
43,64,82.1,8.6,1333.33333333,1597.067,0
44,64,73.9,8.1,1333.33333333,366.534,0
45,64,83.2,9.5,1333.33333333,956.3,1
46,64,83.7,9.8,1333.33333333,1610.067,0
47,64,67.3,7,1333.33333333,381.634,0
48,64,61,7.7,1333.33333333,934.3,0
49,64,82.8,8.8,1333.33333333,1607.967,0
50,64,79.2,8.1,1333.33333333,382.534,0
51,64,59.5,7.4,1333.33333333,938.5,0
52,64,71.1,8,1333.33333333,1603.067,0
53,64,69.4,9,1333.33333333,360.634,0
54,64,86.5,10.8,1333.33333333,944.3,0
55,64,78.7,9.3,1333.33333333,1608.667,0
56,64,73,8.6,1333.33333333,374.734,0
57,64,101,11.8,1333.33333333,943.1,0
58,64,110.6,12.9,1333.33333333,1606.767,0
59,64,91.3,10.7,1333.33333333,408.634,0
60,64,86.4,9.4,1333.33333333,945.8,1
61,64,90.8,9.9,1333.33333333,1599.867,0
62,64,86.7,9.7,1333.33333333,382.534,0
63,64,89,10.1,1333.33333333,932.2,0
64,64,81.2,8.3,1333.33333333,1598.767,0
65,64,79.4,8,1333.33333333,371.834,0
66,64,80,8.6,1333.33333333,932,0
67,64,79.8,8.1,1333.33333333,1598.567,0
68,64,78.6,7.8,1333.33333333,369.834,0
69,64,72.6,9.6,1333.33333333,929.6,0
70,64,82,11.5,1333.33333333,1602.567,0
71,64,71.9,8.7,1333.33333333,371.834,0
72,64,67.5,9.6,1333.33333333,925.2,0
73,64,77.7,8.9,1333.33333333,1600.367,0
74,64,70.2,8,1333.33333333,365.534,0
75,64,83.8,9.5,1333.33333333,946.4,1
76,64,79.9,8.6,1333.33333333,1595.467,0
77,64,73.5,8,1333.33333333,362.934,0
78,64,69.7,7.9,1333.33333333,926.1,0
79,64,96.9,11.6,1333.33333333,1605.267,0
80,64,81.2,8.5,1333.33333333,393.734,0
81,64,81,8.5,1333.33333333,933.6,0
82,64,75.8,8.9,1333.33333333,1593.567,0
83,64,77.6,8.1,1333.33333333,360.234,0
84,64,73.9,9,1333.33333333,928.9,0
85,64,91.4,13.7,1333.33333333,1607.767,0
86,64,82.2,10.7,1333.33333333,391.234,0
87,64,72.7,9.5,1333.33333333,929.2,0
88,64,76.3,9.4,1333.33333333,1593.867,0
89,64,71.3,8.1,1333.33333333,357.734,0
90,64,81.9,9.4,1333.33333333,942.4,1
91,64,89.2,9.9,1333.33333333,1612.367,0
92,64,75.5,8.1,1333.33333333,389.434,0
93,64,155.1,17.1,1333.33333333,978.4,0
94,64,67.1,7.7,1333.33333333,916.467,0
95,64,67.6,10.7,1333.33333333,1145.634,0
96,64,90.2,11.3,1333.33333333,1819.1,0
97,64,79.4,8.2,1333.33333333,601.367,0
98,64,62.1,7.7,1333.33333333,1145.534,0
99,64,80.8,8.5,1333.33333333,1813.1,0
100,64,78.6,7.9,1333.33333333,585.967,0
101,64,73.3,10.1,1333.33333333,1146.934,0
102,64,81.2,11.7,1333.33333333,1831.6,0
103,64,72.5,8.7,1333.33333333,600.567,0
104,64,80.2,9.9,1333.33333333,1146.834,0
105,64,85.8,10.7,1333.33333333,1835.3,1
106,64,71.4,8.1,1333.33333333,608.467,0
107,64,131.5,14,1333.33333333,1200.434,0
108,64,118.3,13.4,1333.33333333,28.1,0
109,64,98,11.3,1333.33333333,1990.567,0
110,64,88.5,10.3,1333.33333333,780.534,0
111,64,82.7,8.6,1333.33333333,1100.5,0
112,64,81.8,8.5,1333.33333333,1768.967,0
113,64,80.4,8.2,1333.33333333,542.634,0
114,64,81.2,8.4,1333.33333333,1103,0
115,64,82.4,8.5,1333.33333333,1778.167,0
116,64,80.6,8.2,1333.33333333,553.034,0
117,64,72.8,9.6,1333.33333333,1109.3,0
118,64,96.5,13.7,1333.33333333,1777.767,0
119,64,89.7,10.7,1333.33333333,565.534,0
120,64,84.1,11.9,1333.33333333,1117.3,1
121,64,67.3,7.7,1333.33333333,1762.967,0
122,64,57,6.7,1333.33333333,513.834,0
123,64,105.8,11.2,1333.33333333,1107.2,0
124,64,64,6.9,1333.33333333,1265.067,0
125,64,74.6,8.1,1333.33333333,2456.634,0
126,64,73.8,8.2,1333.33333333,1218.6,0
127,64,72.8,8.3,1333.33333333,1791.567,0
128,64,67.4,6.8,1333.33333333,552.334,0
129,64,75.9,9.6,1333.33333333,1134.1,0
130,64,61,7.8,1333.33333333,1795.667,0
131,64,53.1,5.5,1333.33333333,539.934,0
132,64,87.8,10.4,1333.33333333,1139,0
133,64,73,9.2,1333.33333333,986.967,0
134,64,63.2,9.2,1333.33333333,1653.234,0
135,64,55.5,7.2,1333.33333333,413.7,1
136,64,96.2,12.6,1333.33333333,989.767,0
137,64,102.7,13.9,1333.33333333,1156.134,0
138,64,109.6,11.5,1333.33333333,1830.4,0
139,64,104.1,11.1,1333.33333333,631.167,0
140,64,105.6,19.8,1333.33333333,1174.234,0
141,64,99.4,11.6,1333.33333333,1824.6,0
142,64,80,8.6,1333.33333333,616.167,0
143,64,62.2,7.4,1333.33333333,1146.834,0
144,64,86.6,9.7,1333.33333333,1832.8,0
145,64,76,7.8,1333.33333333,610.467,0
146,64,61.9,8,1333.33333333,1148.234,0
147,64,75.5,8,1333.33333333,1821,0
148,64,74,7.6,1333.33333333,586.467,0
149,64,91.4,11.6,1333.33333333,1163.534,0
150,64,89.2,11.6,1333.33333333,1845.5,1
151,64,85.5,10.9,1333.33333333,627.467,0
152,64,72.9,14.4,1333.33333333,1167.034,0
153,64,67.4,9.6,1333.33333333,1833.3,0
154,64,57.9,6.8,1333.33333333,584.467,0
155,64,110.6,11.7,1333.33333333,1169.334,0
156,64,70.6,8.7,1333.33333333,1823.4,0
157,64,61,6.5,1333.33333333,577.467,0
158,64,69.4,7.7,1333.33333333,1157.434,0
159,64,93.9,11.8,1333.33333333,1840.6,0
160,64,83.4,8.5,1333.33333333,627.167,0
161,64,57,6,1333.33333333,1166.034,0
162,64,84.7,11,1333.33333333,1895.1,0
163,64,74.2,7.5,1333.33333333,670.267,0
164,64,92.5,11.7,1333.33333333,1181.934,0
165,64,75.5,10.9,1333.33333333,1849.2,1
166,64,69.3,8.8,1333.33333333,612.767,0
167,64,93,11.9,1333.33333333,1178.734,0
168,64,87.5,11,1333.33333333,1844.7,0
169,64,83.3,9.6,1333.33333333,623.867,0
170,64,64.9,8,1333.33333333,1178.334,0
171,64,103.6,11.1,1333.33333333,1844.1,0
172,64,97.7,11.5,1333.33333333,639.167,0
173,64,68,8.8,1333.33333333,1165.334,0
174,64,147.1,24.6,1333.33333333,1882.9,0
175,64,82.3,9,1333.33333333,722.867,0
176,64,74.2,9.7,1333.33333333,1175.334,0
177,64,61.3,7.7,1333.33333333,1836,0
178,64,53.3,5.5,1333.33333333,580.867,0
179,64,80.2,8.4,1333.33333333,1177.834,0
180,64,85.1,11.2,1333.33333333,1857.4,1
181,64,81.2,10.1,1333.33333333,634.467,0
182,64,89.8,11.9,1333.33333333,1179.334,0
183,64,64.5,8.9,1333.33333333,1837.2,0
184,64,56.8,6.9,1333.33333333,585.367,0
185,64,92.6,11.4,1333.33333333,1180.234,0
186,64,83.8,10.1,1333.33333333,1846.4,0
187,64,69.2,8,1333.33333333,618.467,0
188,64,80.4,9.3,1333.33333333,1171.534,0
189,64,66.8,7.1,1333.33333333,2340.9,0
190,64,63.5,10.4,1333.33333333,1091.167,0
191,64,67.7,7.6,1333.33333333,1323.134,0
192,64,58.9,6.7,1333.33333333,74.5,0
193,64,82.6,8.8,1333.33333333,1665.067,0
194,64,78.8,7.9,1333.33333333,439.234,0
195,64,88.4,10.5,1333.33333333,1012.1,1
196,64,74.5,9.3,1333.33333333,1660.867,0
197,64,66.4,6.8,1333.33333333,423.034,0
198,64,63.3,9.3,1333.33333333,1002.6,0
199,64,79.7,11.4,1333.33333333,1663.967,0
200,64,71.9,8.5,1333.33333333,431.234,0
201,64,95.6,14,1333.33333333,1003.7,0
202,64,80.8,9.2,1333.33333333,1167.567,0
203,64,61.7,7.3,1333.33333333,1632.234,0
204,64,56.1,6.5,1333.33333333,377.4,0
205,64,88.5,9.7,1333.33333333,985.667,0
206,64,84.6,9.5,1333.33333333,1633.734,0
207,64,75,8.2,1333.33333333,406.4,0
208,64,70.8,8.1,1333.33333333,963.867,0
209,64,60.9,7.2,1333.33333333,1630.134,0
210,64,56.5,5.8,1333.33333333,387.6,1
211,64,68.6,7.2,1333.33333333,964.967,0
212,64,56.8,6,1333.33333333,1627.834,0
213,64,55.4,5.7,1333.33333333,368.8,0
214,64,58.7,6.4,1333.33333333,960.967,0
215,64,97.4,14.1,1333.33333333,1643.734,0
216,64,87.2,10.6,1333.33333333,433.7,0
217,64,64.5,8,1333.33333333,961.367,0
218,64,61.5,7.5,1333.33333333,1628.134,0
219,64,57.2,6.8,1333.33333333,374,0
220,64,66.7,7.8,1333.33333333,974.267,0
221,64,110.2,11.7,1333.33333333,1645.034,0
222,64,100.1,10.8,1333.33333333,447,0
223,64,87.8,9.7,1333.33333333,969.367,0
224,64,91.8,10.2,1333.33333333,1640.234,0
225,64,79.3,8.2,1333.33333333,435.1,1
226,64,61.9,8,1333.33333333,965.867,0
227,64,80.8,8.4,1333.33333333,1639.434,0
228,64,79.1,7.9,1333.33333333,412.2,0
229,64,81.2,8.3,1333.33333333,972.367,0
230,64,81.7,8.3,1333.33333333,1639.134,0
231,64,83.6,11,1333.33333333,412.6,0
232,64,97.5,14,1333.33333333,976.967,0
233,64,67.5,9.3,1333.33333333,1634.134,0
234,64,58.5,7.1,1333.33333333,385.4,0
235,64,80.7,10.2,1333.33333333,970.367,0
236,64,73,8.9,1333.33333333,1645.734,0
237,64,70.2,8,1333.33333333,406.9,0
238,64,83.2,8.9,1333.33333333,971.167,0
239,64,70.8,7.9,1333.33333333,1633.734,0
240,64,59.4,6.5,1333.33333333,400.7,1
241,64,89.9,9.9,1333.33333333,972.767,0
242,64,80.4,8.6,1333.33333333,2166.534,0
243,64,78.4,7.9,1333.33333333,938.3,0
244,64,59.8,7.7,1333.33333333,1018.767,0
245,64,82.6,10.4,1333.33333333,1695.334,0
246,64,66.2,6.7,1333.33333333,465.6,0
247,64,91.4,11.9,1333.33333333,1030.667,0
248,64,73.7,9.7,1333.33333333,1690.734,0
249,64,71.5,8.3,1333.33333333,452.4,0
250,64,80.1,11.3,1333.33333333,1023.767,0
251,64,92.5,10.9,1333.33333333,1698.734,0
252,64,85.2,9.6,1333.33333333,483.1,0
253,64,104.1,11.4,1333.33333333,1033.667,0
254,64,82.8,8.9,1333.33333333,1689.434,0
255,64,74.3,8.2,1333.33333333,472.1,1
256,64,89.8,9.8,1333.33333333,1026.267,0
257,64,82.7,11.3,1333.33333333,1702.534,0
258,64,67.8,7,1333.33333333,473.2,0
259,64,60.9,7.8,1333.33333333,1025.567,0
260,64,60.8,7.7,1333.33333333,1692.534,0
261,64,53.9,5.6,1333.33333333,437.1,0
262,64,81.8,8.5,1333.33333333,538.667,0
263,64,92.8,11.3,1333.33333333,1213.534,0
264,64,62.9,7.8,1333.33333333,1875.4,0
265,64,56.7,7.2,1333.33333333,621.967,0
266,64,63.6,8.5,1333.33333333,1200.634,0
267,64,60.9,8,1333.33333333,1861.8,0
268,64,56.8,7.1,1333.33333333,605.867,0
269,64,111.3,12.8,1333.33333333,1213.634,0
270,64,72.7,8.2,1333.33333333,1883.5,1
271,64,61.8,6.7,1333.33333333,639.767,0
272,64,70,7.6,1333.33333333,1196.234,0
273,64,70,8.4,1333.33333333,1867.9,0
274,64,66.7,6.8,1333.33333333,625.567,0
275,64,76.3,7.8,1333.33333333,1201.134,0
276,64,57,6,1333.33333333,1862,0
277,64,55.6,5.7,1333.33333333,603.167,0
278,64,75.7,8,1333.33333333,1201.334,0
279,64,84.5,8.9,1333.33333333,1870.2,0
280,64,83.3,8.5,1333.33333333,647.467,0
281,64,97.7,11.8,1333.33333333,1210.034,0
282,64,88.1,10.4,1333.33333333,1876.1,0
283,64,71.5,8.6,1333.33333333,652.167,0
284,64,65.2,9.3,1333.33333333,1201.734,0
285,64,95.8,13.1,1333.33333333,1895.1,1
286,64,86.3,11.2,1333.33333333,682.267,0
287,64,85.6,9.4,1333.33333333,1220.134,0
288,64,94.1,10.2,1333.33333333,1876.2,0
289,64,90.5,9.6,1333.33333333,661.967,0
290,64,95,10.3,1333.33333333,1207.534,0
291,64,135.8,22.6,1333.33333333,1876.3,0
292,64,80.7,8.4,1333.33333333,713.567,0
293,64,74.2,9.5,1333.33333333,1205.034,0
294,64,73,9,1333.33333333,1873.3,0
295,64,66.1,6.8,1333.33333333,633.867,0
296,64,71.4,8.5,1333.33333333,1202.134,0
297,64,76.4,9.2,1333.33333333,1869.6,0
298,64,68.2,8.3,1333.33333333,633.367,0
299,64,73.6,9.2,1333.33333333,1202.734,0
300,64,74.7,9.1,1333.33333333,1884.9,1
301,64,69.9,8.3,1333.33333333,647.267,0
302,64,91.3,10.4,1333.33333333,1208.134,0
303,64,166,52,1333.33333333,1875.3,0
304,64,81.6,10.3,1333.33333333,738.567,0
305,64,103.7,11.3,1333.33333333,1210.134,0
306,64,90.1,10,1333.33333333,1873.5,0
307,64,81.8,9.6,1333.33333333,655.467,0
308,64,61,7.4,1333.33333333,1198.534,0
309,64,81.9,8.9,1333.33333333,1877.7,0
310,64,80.3,8.3,1333.33333333,651.667,0
311,64,83.4,8.9,1333.33333333,1205.534,0
312,64,68.2,7.2,1333.33333333,1868.5,0
313,64,66.5,6.7,1333.33333333,624.067,0
314,64,62.6,7.7,1333.33333333,1199.134,0
315,64,113.1,15.8,1333.33333333,1893.9,1
316,64,61.1,7.7,1333.33333333,697.267,0
317,64,65.5,9.1,1333.33333333,1198.734,0
318,64,71.8,9.2,1333.33333333,1874.3,0
