block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
0,1,30.5,5.7,20.8333333333,21.1,1
1,7,12.7,1.8,145.833333333,32.167,0
2,64,85.9,12.4,1333.33333333,1912.934,0
3,333,352.3,35.7,6937.5,760.9,0
4,1,15.5,3.7,20.8333333333,609.2,0
5,7,17.7,2.6,145.833333333,606.067,0
6,64,66.6,7.9,1333.33333333,493.134,0
7,333,381.1,70.1,6937.5,867.1,0
8,1,24.3,7.8,20.8333333333,781.5,0
9,7,19,2.3,145.833333333,787.767,0
10,64,83.7,9,1333.33333333,679.734,0
11,333,374.7,40.1,6937.5,1371.9,0
12,1,47.8,24.2,20.8333333333,966.1,1
13,7,28,4,145.833333333,997.267,0
14,64,120.2,17.7,1333.33333333,905.834,0
15,333,452.2,52.5,6937.5,1462.9,0
16,1,16.5,2.9,20.8333333333,1413,0
17,7,15.9,2,145.833333333,1410.967,0
18,64,64.6,7.5,1333.33333333,1296.034,0
19,333,284.7,31,6937.5,103.4,0
20,1,26.2,5.4,20.8333333333,978.2,0
21,7,22.7,2.8,145.833333333,986.767,0
22,64,150.1,35.5,1333.33333333,898.434,0
23,333,409.9,44.8,6937.5,1582.3,0
24,1,12.7,2.4,20.8333333333,557.3,1
25,7,12.6,1.7,145.833333333,551.767,0
26,64,59,6,1333.33333333,433.534,0
27,333,295.9,33.5,6937.5,1108.1,0
28,1,20.2,3.8,20.8333333333,1105.8,0
29,7,16,2.2,145.833333333,1107.867,0
30,64,66.7,7.2,1333.33333333,993.034,0
31,333,450.7,49.2,6937.5,1720.2,0
32,1,17.1,3.3,20.8333333333,667.6,0
33,7,11,1.6,145.833333333,666.167,0
34,64,58.8,6.1,1333.33333333,545.934,0
35,333,362.8,42.7,6937.5,1260,0
36,1,17.1,3.6,20.8333333333,757.6,1
37,7,15.7,2.3,145.833333333,756.667,0
38,64,72.5,7.8,1333.33333333,645.534,0
39,333,353.5,39.8,6937.5,1334.7,0
40,1,19.9,4.1,20.8333333333,1305.4,0
41,7,20.8,2.8,145.833333333,1307.767,0
42,64,90.5,10.5,1333.33333333,1205.134,0
43,333,392.4,45,6937.5,1893,0
44,1,22,5.1,20.8333333333,875.1,0
45,7,18.9,2.8,145.833333333,879.367,0
46,64,80.6,9.9,1333.33333333,771.434,0
47,333,368.6,41.5,6937.5,1462.3,0
48,1,15.7,2.6,20.8333333333,1450.2,1
49,7,16.9,2.2,145.833333333,1447.767,0
50,64,75.7,8.6,1333.33333333,1337.734,0
51,333,413,45.6,6937.5,193.9,0
52,1,18.4,3.9,20.8333333333,1498.7,0
53,7,14.3,2.1,145.833333333,1499.067,0
54,64,59.6,6.3,1333.33333333,1382.734,0
55,333,278.8,32.5,6937.5,184.7,0
56,1,21.6,4.3,20.8333333333,1072.5,0
57,7,20.2,2.9,145.833333333,1076.067,0
58,64,83.9,9.3,1333.33333333,969.234,0
59,333,584.7,61.4,6937.5,1738,0
60,1,26.9,4.3,20.8333333333,650.4,1
61,7,23.8,3.1,145.833333333,659.767,0
62,64,104.9,19.3,1333.33333333,559.334,0
63,333,293,32.2,6937.5,710.7,0
64,1,21,4.2,20.8333333333,591.9,0
65,7,14.9,2.6,145.833333333,594.767,0
66,64,77.9,9.4,1333.33333333,482.634,0
67,333,334,34.8,6937.5,1185.7,0
68,1,19.3,3.3,20.8333333333,1158,0
69,7,16.5,2.4,145.833333333,1158.667,0
70,64,66.9,7.2,1333.33333333,1043.934,0
71,333,364.2,38.4,6937.5,1748.3,0
72,1,37.7,10.3,20.8333333333,790.6,1
73,7,33.1,15.9,145.833333333,810.767,0
74,64,96.6,14.8,1333.33333333,719.134,0
75,333,448.8,64.2,6937.5,1356.3,0
76,1,21.2,3.9,20.8333333333,1303.6,0
77,7,17.8,2.3,145.833333333,1306.367,0
78,64,68.2,7.6,1333.33333333,1193.534,0
79,333,448.5,50,6937.5,1941.8,0
80,1,27.3,5,20.8333333333,898.9,0
81,7,20.3,2.7,145.833333333,908.267,0
82,64,96.1,11.5,1333.33333333,803.434,0
83,333,429.6,48.2,6937.5,1502.2,0
84,1,18.2,3.6,20.8333333333,485.9,1
85,7,14.5,2.2,145.833333333,485.667,0
86,64,60.1,6.2,1333.33333333,369.334,0
87,333,403.6,41.6,6937.5,1070.6,0
88,1,18.9,3.1,20.8333333333,1018.5,0
89,7,16.2,2,145.833333333,1018.867,0
90,64,66.7,7.3,1333.33333333,904.434,0
91,333,381,39.8,6937.5,1610.5,0
92,1,15.5,2.9,20.8333333333,582.6,0
93,7,13.4,2.1,145.833333333,579.367,0
94,64,61.3,7.4,1333.33333333,462.334,0
95,333,359.2,42.5,6937.5,1180.1,0
96,1,21,3,20.8333333333,1168.4,1
97,7,18.8,2.8,145.833333333,1171.567,0
98,64,90.5,11.2,1333.33333333,1065.834,0
99,333,286.1,32.4,6937.5,1718.7,0
100,1,17.7,3.1,20.8333333333,350.2,0
101,7,18.2,2.4,145.833333333,353.367,0
102,64,75.5,8.5,1333.33333333,244.734,0
103,333,416.4,45.9,6937.5,1958.2,0
104,1,16.7,3.5,20.8333333333,918.4,0
105,7,18.7,2.8,145.833333333,917.267,0
106,64,88.7,10.3,1333.33333333,812.234,0
107,333,457.6,189.4,6937.5,1489.4,0
108,1,15.7,3,20.8333333333,499.2,1
109,7,17.1,2.1,145.833333333,496.867,0
110,64,74.9,8.5,1333.33333333,386.834,0
111,333,437.9,46.1,6937.5,1095.6,0
112,1,14.8,3.4,20.8333333333,1042.1,0
113,7,14.6,2.1,145.833333333,1038.867,0
114,64,69.7,7.3,1333.33333333,926.534,0
115,333,288.3,34,6937.5,1123.7,0
116,1,18.3,3.5,20.8333333333,1112.8,0
117,7,19.6,2.6,145.833333333,1113.367,0
118,64,74.8,8.7,1333.33333333,1007.534,0
119,333,365.3,39.1,6937.5,1716.5,0
120,1,15.5,3.6,20.8333333333,696.2,1
121,7,16.2,2.5,145.833333333,694.367,0
122,64,70.4,8.5,1333.33333333,583.534,0
123,333,397.1,46.8,6937.5,1274.9,0
124,1,16.7,4.4,20.8333333333,1242.001,0
125,7,16.8,2.9,145.833333333,1240.467,0
126,64,74.4,8.9,1333.33333333,1129.934,0
127,333,289.3,33.7,6937.5,1814.301,0
128,1,17.4,3.1,20.8333333333,804,0
129,7,16.5,2,145.833333333,803.167,0
130,64,61.3,6.7,1333.33333333,692.734,0
131,333,430.3,46.4,6937.5,1420.7,0
132,1,23.5,4.5,20.8333333333,1385.5,1
