block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
0,64,98.2,13.4,1333.33333333,29.2,1
1,64,75.3,8.8,1333.33333333,1593.767,0
2,64,68,7,1333.33333333,346.234,0
3,64,63.9,8.1,1333.33333333,921.6,0
4,64,93.8,11,1333.33333333,1596.167,0
5,64,89,9.8,1333.33333333,369.134,0
6,64,78.8,8.9,1333.33333333,922.5,0
7,64,102.3,11.9,1333.33333333,1597.567,0
8,64,83.2,9.7,1333.33333333,379.134,0
9,64,78.2,9.3,1333.33333333,927.3,0
10,64,142.1,24.9,1333.33333333,1611.067,0
11,64,129.7,16.3,1333.33333333,438.734,0
12,64,76.8,9.2,1333.33333333,923.8,0
13,64,96.6,11.9,1333.33333333,1602.167,0
14,64,85.2,10.7,1333.33333333,378.734,0
15,64,74.1,9,1333.33333333,947.3,1
16,64,97.1,13.2,1333.33333333,1599.867,0
17,64,85.4,10.1,1333.33333333,376.434,0
18,64,99.2,13.7,1333.33333333,936.1,0
19,64,89.5,10.7,1333.33333333,1599.367,0
20,64,81.7,9.4,1333.33333333,368.134,0
21,64,98.7,12,1333.33333333,945.9,0
22,64,83.1,9.9,1333.33333333,1602.167,0
23,64,69.1,8.2,1333.33333333,362.434,0
24,64,86.4,10.1,1333.33333333,936.3,0
25,64,84.2,10.2,1333.33333333,1602.867,0
26,64,82.1,9.4,1333.33333333,365.834,0
27,64,85.6,9.8,1333.33333333,934.1,0
28,64,73.7,8.5,1333.33333333,1600.467,0
29,64,68,8.1,1333.33333333,351.034,0
30,64,84.5,10.2,1333.33333333,948.8,1
31,64,92.4,13.2,1333.33333333,1601.967,0
32,64,83.5,10.1,1333.33333333,373.434,0
33,64,87.8,10.5,1333.33333333,940.9,0
34,64,82.5,12.1,1333.33333333,1603.567,0
35,64,69.7,8.7,1333.33333333,363.434,0
36,64,66.1,7.8,1333.33333333,930.4,0
37,64,76.7,8.7,1333.33333333,1598.367,0
38,64,72.8,8.3,1333.33333333,352.134,0
39,64,88.4,10,1333.33333333,935.3,0
40,64,86.8,10.1,1333.33333333,1601.667,0
41,64,81.2,9.8,1333.33333333,367.434,0
42,64,96,11.7,1333.33333333,936.8,0
43,64,87.1,14.2,1333.33333333,2103.667,0
44,64,69.9,8.3,1333.33333333,867.934,0
45,64,72.9,8.9,1333.33333333,1012.1,1
46,64,78.5,9.5,1333.33333333,1672.867,0
47,64,70.3,8.7,1333.33333333,428.434,0
48,64,85,10.5,1333.33333333,1007.1,0
49,64,96,13.3,1333.33333333,1673.167,0
50,64,84.3,10.2,1333.33333333,448.334,0
51,64,72.6,8.3,1333.33333333,1002.2,0
52,64,92.4,10.1,1333.33333333,1671.867,0
53,64,85.8,9.7,1333.33333333,442.834,0
54,64,81.3,9.7,1333.33333333,1005.5,0
55,64,86.4,10.1,1333.33333333,1673.767,0
56,64,78.7,8,1333.33333333,438.934,0
57,64,83,9.9,1333.33333333,1007.6,0
58,64,96.2,11.2,1333.33333333,1675.167,0
59,64,87.1,10.4,1333.33333333,450.534,0
60,64,63.8,7.3,1333.33333333,1010.6,1
61,64,95.6,11.4,1333.33333333,1678.467,0
62,64,80.7,9.9,1333.33333333,453.434,0
63,64,77.9,10,1333.33333333,1002.3,0
64,64,78.2,10.8,1333.33333333,2176.467,0
65,64,67.2,8.4,1333.33333333,931.834,0
66,64,85.4,10.4,1333.33333333,1303.7,0
67,64,84.7,10.1,1333.33333333,68.167,0
68,64,63.8,7.5,1333.33333333,1625.334,0
69,64,58.5,6.8,1333.33333333,364.3,0
70,64,70.4,8.3,1333.33333333,966.167,0
71,64,84.6,10,1333.33333333,1636.334,0
72,64,69.3,8.2,1333.33333333,398.2,0
73,64,97,11.5,1333.33333333,971.567,0
74,64,77.6,9.2,1333.33333333,1635.234,0
75,64,68.5,7.9,1333.33333333,406.9,1
76,64,74.4,10.2,1333.33333333,969.167,0
77,64,83.9,28.7,1333.33333333,1632.934,0
78,64,54.3,6.5,1333.33333333,391.9,0
79,64,77.7,9.1,1333.33333333,967.967,0
80,64,170.7,33.3,1333.33333333,2444.334,0
