block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
0,333,325.5,38.1,6937.5,95.1,1
1,333,276.4,32,6937.5,0,0
2,333,264.9,26.8,6937.5,0,0
3,333,266,26.7,6937.5,0,1
4,333,269.7,31.3,6937.5,0,0
5,333,266.2,29,6937.5,0,0
6,333,266,26.6,6937.5,0,1
7,333,267.1,30.7,6937.5,0,0
8,333,263.2,26.3,6937.5,0,0
9,333,264.6,26.4,6937.5,0,1
10,333,269,30.2,6937.5,0,0
11,333,263.8,26.5,6937.5,0,0
12,333,264.7,26.4,6937.5,0,1
13,333,262,26.3,6937.5,0,0
14,333,263.8,26.3,6937.5,0,0
15,333,270.6,30.4,6937.5,0,1
16,333,264.4,26.5,6937.5,0,0
17,333,272.4,33.6,6937.5,0,0
18,333,277.6,32.8,6937.5,0,1
19,333,263.7,26.4,6937.5,0,0
20,333,266.8,29.5,6937.5,0,0
21,333,448.2,85.5,6937.5,0,1
22,333,352.5,38.8,6937.5,0,0
23,333,325.4,33,6937.5,0,0
24,333,328.3,33.3,6937.5,0,1
25,333,311.6,39,6937.5,0,0
26,333,261.4,26.2,6937.5,0,0
27,333,268.1,30.5,6937.5,0,1
28,333,265.3,30,6937.5,0,0
29,333,264.5,29.7,6937.5,0,0
30,333,296.2,36.7,6937.5,0,1
31,333,276.2,35.4,6937.5,0,0
32,333,264.3,26.4,6937.5,0,0
33,333,269,31.7,6937.5,0,1
34,333,260.7,26.2,6937.5,0,0
35,333,267.6,30.4,6937.5,0,0
36,333,312.2,39.9,6937.5,0,1
37,333,262.2,26.4,6937.5,0,0
38,333,262.9,27.2,6937.5,0,0
39,333,383.7,60,6937.5,0,1
40,333,310.8,39,6937.5,0,0
41,333,277.2,36.6,6937.5,0,0
42,333,261.8,28.1,6937.5,0,1
43,333,270.8,30.9,6937.5,0,0
44,333,274,32.3,6937.5,0,0
45,333,261.3,26.3,6937.5,0,1
46,333,261.9,26.4,6937.5,0,0
47,333,261.3,26.2,6937.5,0,0
48,333,262.2,26.5,6937.5,0,1
49,333,266.7,30.9,6937.5,0,0
50,333,261.2,26.2,6937.5,0,0
51,333,261.4,26.2,6937.5,0,1
52,333,260.8,26.3,6937.5,0,0
53,333,263.9,30.1,6937.5,0,0
54,333,266.1,30,6937.5,0,1
55,333,267,30.1,6937.5,0,0
56,333,264.3,26.6,6937.5,0,0
57,333,264.6,26.5,6937.5,0,1
58,333,267.1,30,6937.5,0,0
59,333,269.3,30.3,6937.5,0,0
60,333,267.2,28.3,6937.5,0,1
61,333,398.7,43.7,6937.5,0,0
62,333,392.7,40,6937.5,0,0
63,333,396.5,47.5,6937.5,0,1
64,333,379.1,38.1,6937.5,0,0
65,333,393.9,46.2,6937.5,0,0
66,333,399.2,48.8,6937.5,0,1
67,333,412.8,49.7,6937.5,0,0
68,333,419.3,49.2,6937.5,0,0
69,333,412.3,49.9,6937.5,0,1
70,333,374.5,42,6937.5,0,0
71,333,384.2,38.6,6937.5,0,0
72,333,386.2,39,6937.5,0,1
73,333,273.6,29.1,6937.5,0,0
74,333,270.9,31.4,6937.5,0,0
75,333,284.7,37,6937.5,0,1
76,333,386,40.9,6937.5,0,0
77,333,596,216.9,6937.5,0,0
78,333,374.7,56.4,6937.5,0,1
79,333,407.7,48.5,6937.5,0,0
80,333,388.7,39.9,6937.5,0,0
81,333,404,46.8,6937.5,0,1
82,333,382.9,38.7,6937.5,0,0
83,333,387.1,39.9,6937.5,0,0
84,333,399,40.4,6937.5,0,1
85,333,413.1,49.9,6937.5,0,0
86,333,395.1,41.1,6937.5,0,0
87,333,397.5,40.4,6937.5,0,1
88,333,410.7,48.1,6937.5,0,0
89,333,392.5,42.3,6937.5,0,0
90,333,456.6,101.3,6937.5,0,1
91,333,404.8,40.8,6937.5,0,0
92,333,405.7,48.1,6937.5,0,0
93,333,367.8,45.1,6937.5,0,1
94,333,265.8,27.1,6937.5,0,0
95,333,262.5,26.6,6937.5,0,0
96,333,398.2,49.6,6937.5,0,1
97,333,405.6,48.8,6937.5,0,0
98,333,393.6,48.2,6937.5,0,0
99,333,397.9,40.2,6937.5,0,1
100,333,402.2,44.4,6937.5,0,0
101,333,394,41.1,6937.5,0,0
102,333,399.4,40.2,6937.5,0,1
103,333,394.5,40.1,6937.5,0,0
104,333,405.3,44.1,6937.5,0,0
105,333,413.5,51,6937.5,0,1
106,333,397.1,47.4,6937.5,0,0
107,333,385.3,38.7,6937.5,0,0
108,333,399.2,47.8,6937.5,0,1
109,333,427.8,57.4,6937.5,0,0
110,333,402.2,48.4,6937.5,0,0
111,333,391.8,47.3,6937.5,0,1
112,333,405.4,54.3,6937.5,0,0
113,333,386.5,40.2,6937.5,0,0
114,333,393.8,47.4,6937.5,0,1
115,333,393.9,40.1,6937.5,0,0
116,333,404.5,40.5,6937.5,0,0
117,333,409.8,49.4,6937.5,0,1
118,333,417.1,49.6,6937.5,0,0
119,333,403.5,46.3,6937.5,0,0
120,333,396.1,40.1,6937.5,0,1
121,333,417.8,50.4,6937.5,0,0
122,333,400.7,40.5,6937.5,0,0
123,333,413.4,49.4,6937.5,0,1
124,333,397.3,40.1,6937.5,0,0
125,333,415.2,54.9,6937.5,0,0
126,333,397.9,48.4,6937.5,0,1
127,333,410.3,48.2,6937.5,0,0
128,333,391.6,41.6,6937.5,0,0
129,333,405.5,48.9,6937.5,0,1
130,333,397.7,40.2,6937.5,0,0
131,333,389.5,40,6937.5,0,0
132,333,410.1,53.2,6937.5,0,1
133,333,416.4,50.2,6937.5,0,0
134,333,388.3,39.1,6937.5,0,0
135,333,394.3,43.1,6937.5,0,1
136,333,416.5,49.3,6937.5,0,0
137,333,399.4,40.5,6937.5,0,0
138,333,454.8,96.6,6937.5,0,1
139,333,1725.6,1146.3,6937.5,0,0
140,333,578.3,177.2,6937.5,0,0
141,333,420,49.4,6937.5,0,1
142,333,383.9,38.8,6937.5,0,0
143,333,269.7,31.3,6937.5,0,0
144,333,274.3,30.4,6937.5,0,1
145,333,268.8,30.6,6937.5,0,0
146,333,342.2,46.4,6937.5,0,0
147,333,387.6,42.6,6937.5,0,1
148,333,382.7,38.6,6937.5,0,0
149,333,393.2,47.3,6937.5,0,0
150,333,403.6,47.3,6937.5,0,1
151,333,383.7,38.4,6937.5,0,0
152,333,398.9,46.8,6937.5,0,0
153,333,399.1,47.3,6937.5,0,1
154,333,389.3,38.9,6937.5,0,0
155,333,399.7,47.5,6937.5,0,0
156,333,394.5,42.8,6937.5,0,1
157,333,404.8,47,6937.5,0,0
158,333,390.6,39.2,6937.5,0,0
159,333,389.7,38.9,6937.5,0,1
160,333,412.5,47.3,6937.5,0,0
161,333,397.9,43.2,6937.5,0,0
162,333,401.8,47.6,6937.5,0,1
163,333,405.3,48,6937.5,0,0
164,333,403.6,48.2,6937.5,0,0
165,333,393.2,39.4,6937.5,0,1
166,333,403.7,48.5,6937.5,0,0
167,333,401.8,47.8,6937.5,0,0
168,333,403.1,47.7,6937.5,0,1
169,333,389.2,39.3,6937.5,0,0
170,333,404.2,43.6,6937.5,0,0
171,333,406.2,40.7,6937.5,0,1
172,333,413.6,49.9,6937.5,0,0
173,333,404.3,47.7,6937.5,0,0
174,333,418.8,56.8,6937.5,0,1
175,333,401.3,40.9,6937.5,0,0
176,333,424.8,50.7,6937.5,0,0
177,333,404.6,43.3,6937.5,0,1
178,333,397.3,40,6937.5,0,0
179,333,413.6,49.1,6937.5,0,0
180,333,400.8,48.2,6937.5,0,1
181,333,401.9,41.7,6937.5,0,0
182,333,403.7,45.6,6937.5,0,0
183,333,385.8,42,6937.5,0,1
184,333,405.2,48.8,6937.5,0,0
185,333,399.6,43,6937.5,0,0
186,333,398.1,40.1,6937.5,0,1
187,333,425.6,50.2,6937.5,0,0
188,333,395.9,40.5,6937.5,0,0
189,333,410.4,44.8,6937.5,0,1
190,333,407,40.8,6937.5,0,0
191,333,417.9,50,6937.5,0,0
192,333,400.2,40.5,6937.5,0,1
193,333,391.9,40.5,6937.5,0,0
194,333,395.9,44,6937.5,0,0
195,333,412.2,47.6,6937.5,0,1
196,333,401.2,40.6,6937.5,0,0
197,333,391.1,40.2,6937.5,0,0
198,333,405.7,48.9,6937.5,0,1
199,333,423.3,49.2,6937.5,0,0
200,333,446.4,73.4,6937.5,0,0
201,333,510.9,63,6937.5,0,1
202,333,476.7,48.1,6937.5,0,0
203,333,438.6,55.7,6937.5,0,0
204,333,580.8,130.4,6937.5,0,1
205,333,398,41,6937.5,0,0
206,333,400.7,41.5,6937.5,0,0
207,333,400.2,43.6,6937.5,0,1
208,333,385.7,38.7,6937.5,0,0
209,333,394.6,45.7,6937.5,0,0
210,333,406.8,48.9,6937.5,0,1
211,333,271.5,29.3,6937.5,0,0
212,333,273.5,31,6937.5,0,0
213,333,270.5,29,6937.5,0,1
214,333,270,29.1,6937.5,0,0
215,333,270.1,30.5,6937.5,0,0
216,333,271.9,30.3,6937.5,0,1
217,333,266.5,26.8,6937.5,0,0
218,333,265.4,26.6,6937.5,0,0
219,333,266.5,26.7,6937.5,0,1
220,333,266,26.7,6937.5,0,0
221,333,265.2,26.7,6937.5,0,0
222,333,270.3,29.7,6937.5,0,1
223,333,264.2,26.5,6937.5,0,0
224,333,266,26.8,6937.5,0,0
225,333,271,30.8,6937.5,0,1
226,333,320.5,37.4,6937.5,0,0
227,333,273.4,29.2,6937.5,0,0
228,333,268.9,28.9,6937.5,0,1
229,333,270.2,28.9,6937.5,0,0
230,333,276.7,31.2,6937.5,0,0
231,333,272.5,30.5,6937.5,0,1
232,333,274.8,29.7,6937.5,0,0
233,333,267,27,6937.5,0,0
234,333,264.6,26.8,6937.5,0,1
235,333,268.1,26.9,6937.5,0,0
236,333,266.4,26.7,6937.5,0,0
237,333,266.7,28.1,6937.5,0,1
238,333,266.6,26.8,6937.5,0,0
239,333,269.3,30.5,6937.5,0,0
240,333,310,36.3,6937.5,0,1
241,333,618.7,275.4,6937.5,0,0
242,333,316.3,40.3,6937.5,0,0
243,333,265.6,28.8,6937.5,0,1
244,333,262.1,26.6,6937.5,0,0
245,333,274.6,31.6,6937.5,0,0
246,333,269.8,30.9,6937.5,0,1
247,333,264.6,26.7,6937.5,0,0
248,333,271.6,31.7,6937.5,0,0
249,333,263.7,26.4,6937.5,0,1
250,333,263.4,26.3,6937.5,0,0
251,333,265.8,26.7,6937.5,0,0
252,333,264,26.6,6937.5,0,1
253,333,262.5,26.3,6937.5,0,0
254,333,264.9,26.6,6937.5,0,0
255,333,262.3,26.4,6937.5,0,1
256,333,307.3,42.8,6937.5,0,0
257,333,396.7,40.2,6937.5,0,0
258,333,356.1,38.9,6937.5,0,1
259,333,333.3,38.8,6937.5,0,0
260,333,330.5,39,6937.5,0,0
261,333,262.5,26.6,6937.5,0,1
262,333,264.9,26.6,6937.5,0,0
263,333,263.2,26.3,6937.5,0,0
264,333,349,40.1,6937.5,0,1
265,333,401.9,48.5,6937.5,0,0
266,333,384.1,39.7,6937.5,0,0
267,333,378.1,40.4,6937.5,0,1
268,333,272,30.5,6937.5,0,0
269,333,265.7,26.8,6937.5,0,0
270,333,267.2,27.3,6937.5,0,1
271,333,265.2,26.7,6937.5,0,0
272,333,268.6,27.1,6937.5,0,0
273,333,270.6,30.9,6937.5,0,1
274,333,265,26.6,6937.5,0,0
275,333,270.7,29.9,6937.5,0,0
276,333,267.5,27.2,6937.5,0,1
277,333,265.4,26.6,6937.5,0,0
278,333,267.1,27,6937.5,0,0
279,333,294.9,39.7,6937.5,0,1
280,333,424.7,49.8,6937.5,0,0
281,333,593.3,157.6,6937.5,0,0
282,333,392.4,46.2,6937.5,0,1
283,333,477.1,114.2,6937.5,0,0
284,333,421.3,49.1,6937.5,0,0
285,333,401.2,49,6937.5,0,1
286,333,392.9,47.3,6937.5,0,0
287,333,414.8,46.4,6937.5,0,0
288,333,404.2,48.5,6937.5,0,1
289,333,392.6,47.1,6937.5,0,0
290,333,392.2,39.7,6937.5,0,0
291,333,409.3,48.5,6937.5,0,1
292,333,399.3,48.6,6937.5,0,0
293,333,402.5,49.4,6937.5,0,0
294,333,397.5,49.5,6937.5,0,1
295,333,400.8,42.8,6937.5,0,0
296,333,393.9,40.5,6937.5,0,0
297,333,409.9,49.2,6937.5,0,1
298,333,404.1,48.4,6937.5,0,0
299,333,386.2,39.1,6937.5,0,0
300,333,396.1,40.5,6937.5,0,1
301,333,399.2,43,6937.5,0,0
302,333,399,42.8,6937.5,0,0
303,333,405.1,49.5,6937.5,0,1
304,333,404.1,49.8,6937.5,0,0
305,333,407.9,50,6937.5,0,0
306,333,407,45.3,6937.5,0,1
307,333,391.5,41,6937.5,0,0
308,333,389.2,42.2,6937.5,0,0
309,333,399.8,47.8,6937.5,0,1
310,333,402.6,44.2,6937.5,0,0
311,333,404.8,49.8,6937.5,0,0
312,333,402.2,44.1,6937.5,0,1
313,333,403.5,47.7,6937.5,0,0
314,333,545.3,164.2,6937.5,0,0
315,333,431,49.9,6937.5,0,1
316,333,407.7,49.6,6937.5,0,0
317,333,415,55.1,6937.5,0,0
318,333,390.1,40.1,6937.5,0,1
319,333,387.9,42.3,6937.5,0,0
320,333,406.8,48.5,6937.5,0,0
321,333,404.5,44.5,6937.5,0,1
322,333,394.6,39.9,6937.5,0,0
323,333,400.2,42.1,6937.5,0,0
324,333,398.5,40.4,6937.5,0,1
325,333,406,48,6937.5,0,0
326,333,397.3,40.9,6937.5,0,0
327,333,303,38.5,6937.5,0,1
328,333,302.2,43,6937.5,0,0
329,333,407.2,51.6,6937.5,0,0
330,333,394.4,47.2,6937.5,0,1
331,333,387.6,39.3,6937.5,0,0
332,333,391.6,43.1,6937.5,0,0
333,333,388.2,38.9,6937.5,0,1
334,333,397.5,47.5,6937.5,0,0
335,333,400.9,47.3,6937.5,0,0
336,333,391.1,39,6937.5,0,1
337,333,390.3,39.1,6937.5,0,0
338,333,389.3,38.9,6937.5,0,0
339,333,397.5,42.9,6937.5,0,1
340,333,694,318.2,6937.5,0,0
341,333,426.8,48.4,6937.5,0,0
342,333,415.9,50.3,6937.5,0,1
343,333,1150,785.6,6937.5,0,0
344,333,509,123.6,6937.5,0,0
345,333,419.4,50.5,6937.5,0,1
346,333,401.4,48.3,6937.5,0,0
347,333,399.3,40.5,6937.5,0,0
348,333,408,46.8,6937.5,0,1
349,333,408.6,42.3,6937.5,0,0
350,333,408.2,49.9,6937.5,0,0
351,333,403,49.3,6937.5,0,1
352,333,400.3,40.6,6937.5,0,0
353,333,408.3,46.5,6937.5,0,0
354,333,391.3,39.9,6937.5,0,1
355,333,404.3,44,6937.5,0,0
356,333,396.7,40.4,6937.5,0,0
357,333,406,47.6,6937.5,0,1
358,333,409.7,41.5,6937.5,0,0
359,333,395.9,41.5,6937.5,0,0
360,333,390.1,40.1,6937.5,0,1
361,333,392.1,39.4,6937.5,0,0
362,333,402,44.5,6937.5,0,0
363,333,411,50.2,6937.5,0,1
364,333,411,48.2,6937.5,0,0
365,333,409,50,6937.5,0,0
366,333,400.3,40.5,6937.5,0,1
367,333,1557.8,1196.2,6937.5,0,0
368,333,424.4,58.6,6937.5,0,0
369,333,406.8,48.7,6937.5,0,1
370,333,394.1,39.8,6937.5,0,0
371,333,400.8,43.9,6937.5,0,0
372,333,608.1,172,6937.5,0,1
373,333,404,51,6937.5,0,0
374,333,411.6,48.1,6937.5,0,0
375,333,393.1,40.8,6937.5,0,1
376,333,390.1,39.2,6937.5,0,0
377,333,394.1,43.1,6937.5,0,0
378,333,388.5,38.9,6937.5,0,1
379,333,399.7,48.1,6937.5,0,0
380,333,404.8,48.5,6937.5,0,0
381,333,398.3,47.6,6937.5,0,1
382,333,401.5,40.6,6937.5,0,0
383,333,401.1,41.1,6937.5,0,0
384,333,424.9,50.5,6937.5,0,1
385,333,399,44,6937.5,0,0
386,333,384.4,38.5,6937.5,0,0
387,333,396.4,48.1,6937.5,0,1
388,333,392.8,40.4,6937.5,0,0
389,333,394.3,40.1,6937.5,0,0
390,333,405.1,43.6,6937.5,0,1
391,333,397.8,40.9,6937.5,0,0
392,333,413.9,46.1,6937.5,0,0
393,333,416.8,50.1,6937.5,0,1
394,333,599.6,157.5,6937.5,0,0
395,333,570.8,161.3,6937.5,0,0
396,333,413.2,45.5,6937.5,0,1
397,333,391.5,44.8,6937.5,0,0
398,333,422.8,51,6937.5,0,0
399,333,406.5,41.8,6937.5,0,1
400,333,400.7,45.6,6937.5,0,0
401,333,389.9,39.5,6937.5,0,0
402,333,496.6,125.5,6937.5,0,1
403,333,482.2,101.7,6937.5,0,0
404,333,403.8,40.5,6937.5,0,0
405,333,400.7,40.3,6937.5,0,1
406,333,403.3,48.9,6937.5,0,0
407,333,422.3,56.7,6937.5,0,0
408,333,430.3,52.3,6937.5,0,1
409,333,410.7,48.7,6937.5,0,0
410,333,393.5,39.6,6937.5,0,0
411,333,427.9,53.1,6937.5,0,1
412,333,551,169.1,6937.5,0,0
413,333,390.9,39.5,6937.5,0,0
414,333,391.4,39.7,6937.5,0,1
415,333,392.8,43,6937.5,0,0
416,333,415.5,50.3,6937.5,0,0
417,333,404.1,40.8,6937.5,0,1
418,333,404,47.7,6937.5,0,0
419,333,449.2,58.3,6937.5,0,0
420,333,415.1,42.7,6937.5,0,1
421,333,439.8,79,6937.5,0,0
422,333,409.3,42.3,6937.5,0,0
423,333,278.6,32.4,6937.5,0,1
424,333,282.1,35.4,6937.5,0,0
425,333,282.9,36,6937.5,0,0
426,333,271.3,29,6937.5,0,1
427,333,275.1,29,6937.5,0,0
428,333,267.1,26.8,6937.5,0,0
429,333,409.1,50.7,6937.5,0,1
430,333,405.8,41.4,6937.5,0,0
431,333,411,49.6,6937.5,0,0
432,333,405.5,41.9,6937.5,0,1
