stage,cycle,handles,threads,private_bytes,working_set_bytes
initial,-1,200,4,2641920,14909440
series_0_before,0,200,4,2641920,14925824
cycle_before,-1,200,4,2641920,14925824
cycle_destroyed,0,251,16,66805760,77533184
cycle_destroyed,1,251,17,72327168,88621056
cycle_destroyed,2,251,17,73023488,91586560
cycle_destroyed,3,251,18,72568832,93720576
cycle_destroyed,4,251,18,76980224,97947648
cycle_destroyed,5,251,18,78532608,100347904
cycle_destroyed,6,251,18,78761984,101212160
cycle_destroyed,7,251,18,78086144,101330944
cycle_destroyed,8,251,18,78802944,101834752
cycle_destroyed,9,251,18,78876672,101785600
cycle_destroyed,10,251,18,78671872,102039552
cycle_destroyed,11,251,18,78532608,101376000
series_0_after2s,12,251,18,78209024,101052416
series_1_before,12,251,18,78209024,101052416
cycle_before,-1,251,18,78209024,101052416
cycle_destroyed,0,251,18,79122432,101646336
cycle_destroyed,1,251,18,77877248,101150720
cycle_destroyed,2,251,18,78356480,101744640
cycle_destroyed,3,251,18,102457344,125509632
cycle_destroyed,4,251,18,102281216,125554688
cycle_destroyed,5,251,18,102449152,125526016
cycle_destroyed,6,251,18,102227968,125558784
cycle_destroyed,7,251,18,103231488,126353408
cycle_destroyed,8,251,18,78950400,102162432
cycle_destroyed,9,251,18,102912000,125972480
cycle_destroyed,10,251,18,102408192,125788160
cycle_destroyed,11,251,18,102891520,126152704
series_1_after2s,24,251,18,102891520,126152704
series_2_before,24,251,18,102891520,126152704
cycle_before,-1,251,18,102891520,126152704
cycle_destroyed,0,251,18,102739968,126091264
cycle_destroyed,1,251,18,103043072,126267392
cycle_destroyed,2,251,18,102682624,126091264
cycle_destroyed,3,251,18,102993920,126291968
cycle_destroyed,4,251,18,102608896,125992960
cycle_destroyed,5,251,18,102834176,126181376
cycle_destroyed,6,251,18,102490112,125960192
cycle_destroyed,7,251,18,102998016,126316544
cycle_destroyed,8,251,18,102756352,126177280
cycle_destroyed,9,251,18,80183296,102998016
cycle_destroyed,10,251,18,102617088,125702144
cycle_destroyed,11,251,18,102801408,126099456
series_2_after2s,36,251,18,102539264,125837312
