stage,cycle,handles,threads,private_bytes,working_set_bytes
initial,-1,200,4,2641920,14905344
lifecycle_destroyed,-1,200,4,3084288,16580608
stereo48k64_active,-1,215,17,47095808,59482112
stereo48k64_destroyed,-1,201,4,13930496,19103744
stereo96k64_active,-1,215,17,47902720,60239872
stereo96k64_destroyed,-1,201,4,14254080,19906560
stereo48k_mixed_active,-1,215,17,48730112,60669952
stereo48k_mixed_destroyed,-1,201,4,16019456,19943424
mono48k64_active,-1,215,17,47886336,60268544
mono48k64_destroyed,-1,201,4,14376960,19836928
offline48k333_active,-1,215,17,48726016,60919808
offline48k333_destroyed,-1,201,4,15097856,19521536
cycle_before,-1,200,4,5726208,19292160
cycle_destroyed,0,251,16,66580480,67936256
cycle_destroyed,1,251,17,71065600,77602816
cycle_destroyed,2,251,17,71143424,80920576
cycle_destroyed,3,251,18,72683520,83906560
cycle_destroyed,4,251,19,72376320,85639168
cycle_destroyed,5,251,19,72933376,85250048
cycle_destroyed,6,251,19,72482816,85610496
cycle_destroyed,7,251,19,72888320,85700608
cycle_destroyed,8,251,19,72978432,86786048
cycle_destroyed,9,251,19,100950016,114683904
cycle_destroyed,10,251,19,101019648,115027968
cycle_destroyed,11,251,19,100970496,114855936
final_200ms,-1,251,19,100970496,114855936
final_2s,-1,251,19,100970496,114855936
