block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
0,64,90.5,12.4,1333.33333333,42.8,1
1,64,113.2,15.2,1333.33333333,841.967,0
2,64,65.6,6.8,1333.33333333,1496.334,0
3,64,58.8,6,1333.33333333,246.2,0
4,64,68.4,7.8,1333.33333333,1831.467,0
5,64,63.4,7.1,1333.33333333,584.434,0
6,64,65.9,7.1,1333.33333333,1165.9,0
7,64,70.8,7.7,1333.33333333,1853.967,0
8,64,60.2,6.9,1333.33333333,609.034,0
9,64,152.4,26.2,1333.33333333,1207.3,0
10,64,154.4,26.6,1333.33333333,64.167,0
11,64,85.1,10.4,1333.33333333,1509.134,0
12,64,72.5,9,1333.33333333,282.4,0
13,64,94.7,11.3,1333.33333333,843.567,0
14,64,98.5,11.7,1333.33333333,1515.534,0
15,64,86.4,10.6,1333.33333333,321.3,1
16,64,90.7,11.2,1333.33333333,846.367,0
17,64,74.1,8.9,1333.33333333,1507.834,0
18,64,70.4,8.7,1333.33333333,269.8,0
19,64,97,11.9,1333.33333333,856.567,0
20,64,78.4,9,1333.33333333,1509.034,0
21,64,73.4,8.2,1333.33333333,275.1,0
22,64,120,13.5,1333.33333333,853.767,0
23,64,83.4,9.5,1333.33333333,1511.234,0
24,64,72.1,8.4,1333.33333333,283,0
25,64,89.1,10.3,1333.33333333,846.967,0
26,64,77.5,9.2,1333.33333333,1508.734,0
27,64,69.6,8.4,1333.33333333,273.9,0
28,64,73.6,8.8,1333.33333333,345.867,0
29,64,75.2,9.2,1333.33333333,1019.834,0
30,64,80.9,10.7,1333.33333333,1691.9,1
31,64,74.2,8.6,1333.33333333,460.567,0
32,64,76.7,10.8,1333.33333333,1017.834,0
33,64,84.7,11.7,1333.33333333,1696.8,0
34,64,69.3,8.3,1333.33333333,469.767,0
35,64,84.6,9.9,1333.33333333,1022.234,0
36,64,84.7,9.6,1333.33333333,1685.9,0
37,64,74.9,8.3,1333.33333333,458.767,0
38,64,69.6,8.2,1333.33333333,1016.634,0
39,64,99.1,11.5,1333.33333333,1694.1,0
40,64,86.8,10.2,1333.33333333,485.167,0
41,64,75.8,8.9,1333.33333333,1025.534,0
42,64,90.4,10.4,1333.33333333,1692.4,0
43,64,82.7,9.8,1333.33333333,474.767,0
44,64,73.9,8.5,1333.33333333,1020.434,0
45,64,82.8,11.5,1333.33333333,1703.2,1
46,64,71.6,8.6,1333.33333333,474.267,0
47,64,80.6,11.6,1333.33333333,1022.934,0
48,64,74.3,9.4,1333.33333333,1688.1,0
49,64,67.4,6.8,1333.33333333,449.867,0
50,64,79.4,9.9,1333.33333333,527.634,0
51,64,99,11.8,1333.33333333,1201,0
52,64,80.6,9,1333.33333333,1870.967,0
53,64,77.3,8.4,1333.33333333,638.734,0
54,64,85.1,9.9,1333.33333333,1201.2,0
55,64,69.2,8.4,1333.33333333,1858.967,0
56,64,57.6,5.9,1333.33333333,612.634,0
57,64,65.4,8,1333.33333333,1193.4,0
58,64,66.2,7.9,1333.33333333,1864.067,0
59,64,57.2,6.8,1333.33333333,614.334,0
60,64,67.6,8.1,1333.33333333,1205.4,1
61,64,59.9,7.2,1333.33333333,1857.667,0
62,64,56.5,5.8,1333.33333333,601.834,0
63,64,62.7,7.8,1333.33333333,1190.7,0
64,64,98.8,13.4,1333.33333333,1872.567,0
65,64,89.9,10.7,1333.33333333,665.134,0
66,64,85.6,10.6,1333.33333333,988.5,0
67,64,68.9,7.8,1333.33333333,1652.967,0
68,64,64.2,6.9,1333.33333333,406.334,0
69,64,73.9,8.3,1333.33333333,989.5,0
70,64,86,10.1,1333.33333333,1659.867,0
71,64,69.4,8.1,1333.33333333,433.434,0
72,64,110.5,13,1333.33333333,1004.2,0
73,64,66.4,8,1333.33333333,1657.767,0
74,64,56.4,6.9,1333.33333333,408.034,0
75,64,81.3,9.8,1333.33333333,1012.4,1
76,64,63.9,8.1,1333.33333333,1652.967,0
77,64,55.9,6.8,1333.33333333,400.834,0
78,64,97.3,11.5,1333.33333333,999.6,0
79,64,166.5,45.5,1333.33333333,1661.667,0
80,64,125.5,14.9,1333.33333333,530.234,0
81,64,82.7,11.8,1333.33333333,993.5,0
82,64,78.3,11.7,1333.33333333,1659.967,0
83,64,67.5,6.9,1333.33333333,426.234,0
84,64,84.8,9.5,1333.33333333,992.4,0
85,64,73.3,8.5,1333.33333333,1656.267,0
86,64,62,6.7,1333.33333333,413.734,0
87,64,88.5,10.1,1333.33333333,993.7,0
88,64,98.3,11.6,1333.33333333,1665.967,0
89,64,83.8,10.3,1333.33333333,456.734,0
90,64,63.2,8,1333.33333333,509.6,1
91,64,116.1,16.2,1333.33333333,1211.067,0
92,64,63.9,7.8,1333.33333333,1826.034,0
93,64,55.3,6.9,1333.33333333,573.7,0
94,64,64.7,7.8,1333.33333333,1161.067,0
95,64,65.5,9.4,1333.33333333,1826.534,0
96,64,58.6,7.1,1333.33333333,575.8,0
97,64,70.5,9.3,1333.33333333,1169.867,0
98,64,94.3,12.9,1333.33333333,1839.834,0
99,64,79.9,9.6,1333.33333333,624.8,0
100,64,66.2,7.6,1333.33333333,1161.467,0
101,64,70.3,8,1333.33333333,1825.534,0
102,64,60.6,6.6,1333.33333333,579.8,0
103,64,150.1,46.4,1333.33333333,1159.967,0
104,64,87.4,10.1,1333.33333333,1836.834,0
105,64,70.9,8.5,1333.33333333,629.1,1
106,64,65.7,8,1333.33333333,1157.767,0
107,64,66.3,8.1,1333.33333333,1831.234,0
108,64,56.1,6.8,1333.33333333,580.9,0
109,64,66.6,9,1333.33333333,1166.767,0
110,64,67.6,7.7,1333.33333333,1831.234,0
111,64,58.8,7,1333.33333333,582.3,0
112,64,66.8,9.2,1333.33333333,1160.767,0
113,64,98.3,14.1,1333.33333333,1839.234,0
114,64,84,10.7,1333.33333333,630.3,0
115,64,76.8,9,1333.33333333,1169.267,0
116,64,104.3,11.4,1333.33333333,1841.934,0
117,64,97.2,10.9,1333.33333333,637.2,0
118,64,70.5,8.1,1333.33333333,1161.467,0
119,64,78.8,8.6,1333.33333333,1837.034,0
120,64,69.6,8.1,1333.33333333,619.1,1
121,64,72,8.6,1333.33333333,1164.667,0
122,64,81.1,9.7,1333.33333333,1835.234,0
123,64,71.5,8.7,1333.33333333,604.4,0
124,64,64.9,7.8,1333.33333333,1161.067,0
125,64,94.1,11.8,1333.33333333,1840.634,0
126,64,80.9,8.1,1333.33333333,627,0
127,64,97.3,11.8,1333.33333333,1167.667,0
128,64,84.9,12.2,1333.33333333,1833.334,0
129,64,71.8,8.6,1333.33333333,606.3,0
130,64,84.5,12.3,1333.33333333,1165.667,0
131,64,101.1,14.4,1333.33333333,1834.734,0
132,64,86.7,10.9,1333.33333333,627.3,0
133,64,122.3,21.2,1333.33333333,1212.367,0
134,64,271.2,168.3,1333.33333333,25.434,0
135,64,77.9,9,1333.33333333,1533.1,1
136,64,61.9,7.1,1333.33333333,294.767,0
137,64,70.3,8.7,1333.33333333,835.934,0
138,64,167.1,43.9,1333.33333333,1500.2,0
139,64,92.1,11.2,1333.33333333,358.767,0
140,64,67.6,8.1,1333.33333333,833.334,0
141,64,78.4,9.6,1333.33333333,1503.3,0
142,64,70.1,8.7,1333.33333333,269.467,0
143,64,105.7,14.3,1333.33333333,843.134,0
144,64,66.6,9.8,1333.33333333,1500.6,0
145,64,57.6,6.9,1333.33333333,251.067,0
146,64,101.8,13.4,1333.33333333,2348.834,0
147,64,116.9,19.2,1333.33333333,1141.7,0
148,64,93.2,10.6,1333.33333333,1943.567,0
149,64,90.8,10.6,1333.33333333,726.634,0
150,64,134.1,16.8,1333.33333333,1334.2,1
151,64,93.7,10.6,1333.33333333,160.467,0
152,64,84.6,10.4,1333.33333333,1606.534,0
153,64,71.8,8.5,1333.33333333,379.1,0
154,64,83.6,12.6,1333.33333333,953.867,0
155,64,98.6,11.8,1333.33333333,1616.634,0
156,64,84.4,10.3,1333.33333333,407.7,0
157,64,72.4,8.6,1333.33333333,935.667,0
158,64,76.4,8.9,1333.33333333,1605.334,0
159,64,67.6,6.9,1333.33333333,369.4,0
160,64,70.1,9.9,1333.33333333,933.767,0
161,64,118.1,22.1,1333.33333333,1604.734,0
162,64,73.7,9.2,1333.33333333,410.9,0
163,64,80.2,11.3,1333.33333333,937.367,0
164,64,72.1,10.6,1333.33333333,1599.434,0
165,64,66.6,9.2,1333.33333333,369.3,1
166,64,67.6,7.5,1333.33333333,929.367,0
167,64,104.8,12,1333.33333333,1617.134,0
168,64,88.2,10,1333.33333333,414.1,0
169,64,66.9,7.9,1333.33333333,939.367,0
170,64,64.2,7.7,1333.33333333,1605.534,0
171,64,56.3,6.9,1333.33333333,353.6,0
172,64,96,11.6,1333.33333333,945.467,0
173,64,111.5,13.5,1333.33333333,1623.234,0
174,64,70.9,8.5,1333.33333333,427.3,0
175,64,68.1,8,1333.33333333,930.967,0
176,64,81.8,11.7,1333.33333333,1619.234,0
177,64,72.1,8.5,1333.33333333,389.4,0
178,64,82.9,11.8,1333.33333333,449.567,0
179,64,82.1,12.1,1333.33333333,441.134,0
180,64,89.6,10.9,1333.33333333,1135.7,1
181,64,83.1,9.1,1333.33333333,1776.667,0
182,64,76.3,8.1,1333.33333333,547.734,0
183,64,71.4,8.1,1333.33333333,1101.5,0
184,64,88.5,10,1333.33333333,1780.367,0
185,64,70.5,8.5,1333.33333333,557.134,0
186,64,66.2,8.2,1333.33333333,1101.4,0
187,64,66.1,7.8,1333.33333333,1780.267,0
188,64,56,6.9,1333.33333333,530.034,0
189,64,95.7,11.6,1333.33333333,1116.8,0
190,64,74.2,9.2,1333.33333333,1776.867,0
191,64,68.2,6.9,1333.33333333,538.934,0
192,64,62.5,8,1333.33333333,1109.5,0
193,64,65.7,9.4,1333.33333333,1776.767,0
194,64,57.5,7,1333.33333333,526.134,0
195,64,65.7,9.2,1333.33333333,1124.9,1
196,64,176.9,67.7,1333.33333333,1812.767,0
197,64,87.3,10.6,1333.33333333,681.234,0
198,64,114.2,12.3,1333.33333333,1143.7,0
199,64,77.8,8.8,1333.33333333,2284.167,0
200,64,61.2,6.8,1333.33333333,1045.534,0
201,64,105.5,12,1333.33333333,1290.9,0
202,64,84.4,10,1333.33333333,88.867,0
203,64,62.2,7.2,1333.33333333,1617.034,0
204,64,58.2,6.9,1333.33333333,363.4,0
205,64,64,7.8,1333.33333333,951.567,0
206,64,79.3,9.5,1333.33333333,1620.634,0
207,64,68.4,7.1,1333.33333333,388,0
208,64,113.2,19.4,1333.33333333,957.867,0
209,64,95.7,13.6,1333.33333333,1621.534,0
210,64,87.1,11.2,1333.33333333,430,1
211,64,79.7,10.9,1333.33333333,951.567,0
212,64,81.7,11.9,1333.33333333,1621.034,0
213,64,71,8.3,1333.33333333,390.4,0
214,64,109.1,12.3,1333.33333333,960.467,0
215,64,82.3,9.1,1333.33333333,1618.534,0
216,64,75.6,8.3,1333.33333333,388.2,0
217,64,92,10.1,1333.33333333,956.967,0
218,64,71.2,8.5,1333.33333333,1618.434,0
219,64,68.8,8.1,1333.33333333,377.2,0
220,64,144,36.2,1333.33333333,962.167,0
221,64,97,13.2,1333.33333333,1625.834,0
222,64,70.4,8.3,1333.33333333,410.9,0
223,64,65.6,8,1333.33333333,1455.367,0
224,64,55,5.6,1333.33333333,204.734,0
225,64,65.7,9.8,1333.33333333,1184.9,1
226,64,91.9,11.4,1333.33333333,1837.567,0
227,64,86.5,10.4,1333.33333333,621.834,0
228,64,81.6,11.3,1333.33333333,1174.8,0
229,64,109.9,12.2,1333.33333333,1849.567,0
230,64,99,10.8,1333.33333333,650.634,0
231,64,98.5,11,1333.33333333,1174.1,0
232,64,98.2,11.3,1333.33333333,1848.767,0
233,64,80.9,8.2,1333.33333333,639.134,0
234,64,114.6,14.4,1333.33333333,1182.8,0
235,64,66,7.9,1333.33333333,1837.167,0
236,64,57.2,6.8,1333.33333333,587.034,0
237,64,87.5,10.7,1333.33333333,1176.2,0
238,64,75.7,9,1333.33333333,1838.567,0
239,64,67.2,6.9,1333.33333333,601.934,0
240,64,60.9,7.8,1333.33333333,1186.1,1
241,64,79.4,11.7,1333.33333333,1837.567,0
242,64,70.1,9,1333.33333333,605.134,0
243,64,124,25.3,1333.33333333,1203.3,0
244,64,67.5,10.2,1333.33333333,1831.667,0
245,64,55.8,6.7,1333.33333333,583.334,0
246,64,109.2,12,1333.33333333,1180.3,0
247,64,73.1,8.1,1333.33333333,1832.667,0
248,64,62.2,6.6,1333.33333333,589.534,0
249,64,105.1,12,1333.33333333,1178.6,0
250,64,64.7,7.9,1333.33333333,1837.467,0
251,64,55.6,6.8,1333.33333333,585.934,0
252,64,75.8,8.8,1333.33333333,1171.2,0
253,64,65.1,7.9,1333.33333333,1833.867,0
254,64,55.9,6.8,1333.33333333,582.634,0
255,64,63.7,7.9,1333.33333333,1516.9,1
256,64,54.9,5.5,1333.33333333,264.667,0
257,64,91.2,11.5,1333.33333333,1850.234,0
258,64,85.9,11.2,1333.33333333,633.9,0
259,64,65.8,9.1,1333.33333333,1173.267,0
260,64,80.5,11.3,1333.33333333,1848.234,0
261,64,72.6,8.8,1333.33333333,616.6,0
262,64,109.6,12,1333.33333333,1184.767,0
263,64,127.6,14.2,1333.33333333,1853.834,0
264,64,120.2,13.2,1333.33333333,680.4,0
