block_index,frames,chain_us,max_one_us,deadline_us,late_start_us,automated
0,1,23.3,4.1,20.8333333333,18.5,1
1,7,12.4,1.6,145.833333333,22.767,0
2,64,99.2,14.1,1333.33333333,1709.334,0
3,333,350.9,35.7,6937.5,569.2,0
4,1,24.6,5.1,20.8333333333,1945.6,0
5,7,26.8,3.6,145.833333333,1952.867,0
6,64,98.8,11,1333.33333333,1856.534,0
7,333,424.7,45.9,6937.5,735.8,0
8,1,16.7,2.6,20.8333333333,507.6,0
9,7,16.4,2.3,145.833333333,505.767,0
10,64,65.3,7.7,1333.33333333,391.334,0
11,333,361.6,40.8,6937.5,1097.6,0
12,1,16.9,3.6,20.8333333333,1088.3,1
13,7,21.6,3.8,145.833333333,1087.867,0
14,64,87.5,10.9,1333.33333333,986.334,0
15,333,432,47.5,6937.5,1681.3,0
16,1,15.3,2.7,20.8333333333,632.4,0
17,7,17.8,2.4,145.833333333,629.567,0
18,64,77.2,8.9,1333.33333333,520.234,0
19,333,368,39.2,6937.5,1222.7,0
20,1,14.3,3,20.8333333333,1196.2,0
21,7,16.1,2.4,145.833333333,1192.367,0
22,64,71.6,8.8,1333.33333333,1081.334,0
23,333,354,39.5,6937.5,1786.4,0
24,1,11.1,2.5,20.8333333333,769.9,1
25,7,14.2,2,145.833333333,762.867,0
26,64,69.5,7.1,1333.33333333,649.934,0
27,333,417.9,48.2,6937.5,1372.3,0
28,1,18.4,3.7,20.8333333333,1327,0
29,7,22.4,2.9,145.833333333,1327.967,0
30,64,94.6,10.4,1333.33333333,1228.034,0
31,333,340.2,40.4,6937.5,2004.8,0
32,1,16.1,3.8,20.8333333333,882.8,0
33,7,15.8,2.8,145.833333333,880.567,0
34,64,74.6,9.1,1333.33333333,768.634,0
35,333,426.8,48.5,6937.5,1499,0
36,1,12.1,2.6,20.8333333333,966.1,1
37,7,14.4,2,145.833333333,959.667,0
38,64,62.4,7.1,1333.33333333,844.034,0
39,333,316.8,43.8,6937.5,1573.9,0
40,1,16.6,3.8,20.8333333333,1847.6,0
41,7,19.5,2.7,145.833333333,1846.767,0
42,64,86.3,10.7,1333.33333333,1742.934,0
43,333,398.8,44.5,6937.5,609.5,0
44,1,43.9,16,20.8333333333,947.2,0
45,7,28.3,3.6,145.833333333,974.267,0
46,64,78.8,9.2,1333.33333333,883.134,0
47,333,303,33.4,6937.5,1493.3,0
48,1,11.5,1.9,20.8333333333,1529.9,1
49,7,14.7,2.1,145.833333333,1523.167,0
50,64,72.2,8.8,1333.33333333,1410.734,0
51,333,286.2,33.3,6937.5,244.2,0
52,1,15,3.7,20.8333333333,1046.6,0
53,7,17.1,2.6,145.833333333,1043.467,0
54,64,72.3,8.7,1333.33333333,933.534,0
55,333,351.8,39.2,6937.5,1638.9,0
56,1,17.6,3.4,20.8333333333,607.6,0
57,7,21.2,2.8,145.833333333,607.467,0
58,64,92.3,10.1,1333.33333333,505.234,0
59,333,349.8,38.1,6937.5,1195.8,0
60,1,13.7,3.2,20.8333333333,1186.8,1
61,7,13.8,2,145.833333333,1181.867,0
62,64,62.2,7.3,1333.33333333,1064.934,0
63,333,348.3,38.4,6937.5,1767.9,0
64,1,15.2,3.5,20.8333333333,735.7,0
65,7,12.9,2,145.833333333,732.367,0
66,64,61.6,7.2,1333.33333333,614.634,0
67,333,350.5,40.7,6937.5,1327.5,0
68,1,21.2,3.9,20.8333333333,1303,0
69,7,17.5,2.2,145.833333333,1306.067,0
70,64,78.7,8.8,1333.33333333,1196.034,0
71,333,311.4,37.9,6937.5,1872,0
72,1,11.3,2.5,20.8333333333,876.8,1
73,7,12.8,1.8,145.833333333,869.767,0
