m = 196 messbare Baender, 1000 Laeufe je Zeile
Modell K = Baselinemittel exakt bekannt (Nachbildung Vorpruefer), E = Baseline aus n_b = n_r Fenstern (Code)
Fall                            n_r    IV!=0   p<=.05  >=1 FDR    Alarm
K iid                             2   100.0%   100.0%   100.0%   100.0%
K iid                             3   100.0%   100.0%   100.0%   100.0%
K iid                             4   100.0%   100.0%   100.0%   100.0%
K iid                             5    64.2%    64.9%   100.0%    64.2%
K iid                             6    49.6%    50.1%   100.0%    49.6%
K iid                             8    37.8%    35.7%   100.0%    37.8%
K iid                            12    22.0%    23.5%    96.1%    21.3%
K iid                            16    18.3%    17.7%    14.3%     3.0%
K iid                            20    14.5%    14.4%     0.5%     0.1%
K iid                            24    13.2%    12.5%     0.1%     0.0%
K iid                            32     9.6%    10.4%     0.0%     0.0%
K iid                            40     7.8%     9.2%     0.0%     0.0%

E iid                             2   100.0%   100.0%   100.0%   100.0%
E iid                             3   100.0%   100.0%   100.0%   100.0%
E iid                             4   100.0%   100.0%   100.0%   100.0%
E iid                             5    71.4%    73.6%   100.0%    71.4%
E iid                             6    61.3%    61.0%   100.0%    61.3%
E iid                             8    47.7%    48.3%   100.0%    47.7%
E iid                            12    34.6%    36.3%   100.0%    34.6%
E iid                            16    28.6%    30.6%    99.9%    28.6%
E iid                            20    25.3%    27.5%    95.4%    23.9%
E iid                            24    25.0%    25.4%    76.9%    20.9%
E iid                            32    23.5%    23.1%    37.7%     9.1%
E iid                            40    23.0%    21.5%    16.0%     3.4%

E AR1=0.5 gem=0.0                 2   100.0%   100.0%   100.0%   100.0%
E AR1=0.5 gem=0.0                 3   100.0%   100.0%   100.0%   100.0%
E AR1=0.5 gem=0.0                 4   100.0%   100.0%   100.0%   100.0%
E AR1=0.5 gem=0.0                 5    82.1%    83.3%   100.0%    82.1%
E AR1=0.5 gem=0.0                 6    73.5%    72.3%   100.0%    73.5%
E AR1=0.5 gem=0.0                 8    59.8%    59.4%   100.0%    59.8%
E AR1=0.5 gem=0.0                12    46.7%    47.9%   100.0%    46.7%
E AR1=0.5 gem=0.0                16    41.1%    41.8%   100.0%    41.1%
E AR1=0.5 gem=0.0                20    40.1%    38.3%   100.0%    40.1%
E AR1=0.5 gem=0.0                24    36.2%    35.5%   100.0%    36.2%
E AR1=0.5 gem=0.0                32    30.8%    33.0%    99.8%    30.8%
E AR1=0.5 gem=0.0                40    29.6%    31.1%    98.9%    29.1%

E AR1=0.0 gem=0.5                 2   100.0%   100.0%   100.0%   100.0%
E AR1=0.0 gem=0.5                 3   100.0%   100.0%   100.0%   100.0%
E AR1=0.0 gem=0.5                 4   100.0%   100.0%   100.0%   100.0%
E AR1=0.0 gem=0.5                 5    74.2%    73.5%   100.0%    74.2%
E AR1=0.0 gem=0.5                 6    63.2%    61.6%   100.0%    63.2%
E AR1=0.0 gem=0.5                 8    49.0%    47.9%    99.8%    49.0%
E AR1=0.0 gem=0.5                12    35.5%    35.9%    88.2%    35.5%
E AR1=0.0 gem=0.5                16    30.7%    31.0%    63.3%    30.7%
E AR1=0.0 gem=0.5                20    26.9%    27.1%    48.0%    26.9%
E AR1=0.0 gem=0.5                24    26.4%    25.5%    37.9%    26.4%
E AR1=0.0 gem=0.5                32    26.0%    23.3%    29.7%    25.1%
E AR1=0.0 gem=0.5                40    21.1%    21.5%    24.3%    20.2%

