NAK-283 Etappe 5 - Rotbilanz
Zeitpunkt: 2026-09-13T13:37:58.1518394+02:00
HEAD: bc0941e51bcdf8d3752362c3ca10cda628bd1438
Basis: bc0941e51bcdf8d3752362c3ca10cda628bd1438

MUT-44         M-44                     erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-44-etappe-5.txt  BESTANDEN
MUT-44         M-45 (a)                 erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-45a-etappe-5.txt  BESTANDEN
MUT-44         M-46                     erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-46-etappe-5.txt  BESTANDEN
MUT-44         M-47                     erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-47-etappe-5.txt  BESTANDEN
MUT-45         M-45 (b)                 erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-45b-etappe-5.txt  BESTANDEN
MUT-48         M-48 (a) Beobachtung     erwartet gruen mutiert Exit 0 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-48-beobachtung-etappe-5.txt  BESTANDEN
MUT-48b        M-48 (a)                 erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-48a-etappe-5.txt  BESTANDEN
MUT-48b        M-48 (b)                 erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-48b-etappe-5.txt  BESTANDEN
MUT-49a        M-49 (a)                 erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-49-etappe-5.txt  BESTANDEN
MUT-49a        M-50                     erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-50-etappe-5.txt  BESTANDEN
MUT-49a        M-51 (A)                 erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-51A-etappe-5.txt  BESTANDEN
MUT-49a        M-52 Anfang              erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-52a-etappe-5.txt  BESTANDEN
MUT-49a        M-74                     erwartet rot   mutiert Exit 1 (Traeger True) / zurueck Exit 0 (Traeger True), Hash gleich True  NAK-283-rot-M-74-etappe-5.txt  BESTANDEN
